time_delay_ps,power_initial_w,power_1z0_w,power_3z0_w
-3.4375,0.041246621433663186,0.04124134601049796,0.041286241958340485
-3.3984375,0.04459075088059672,0.04458516292017918,0.04463493453841952
-3.3593749999999996,0.048205354140507646,0.04819932514216271,0.04825410055369289
-3.3203125,0.05211219636099007,0.052106290304562854,0.052165505556930766
-3.28125,0.056334775421161616,0.056329605779852854,0.05639271737399149
-3.2421874999999996,0.06089845670747534,0.06089441838725686,0.06096086691749
-3.203125,0.06583061783366854,0.06582761840390165,0.06589721527807822
-3.1640625,0.07116080394539744,0.07115909134949629,0.0712318082882295
-3.1249999999999996,0.0769208942745844,0.07692089978037321,0.07699727830210222
-3.0859375,0.0831452806305111,0.08314707475619638,0.0832267416069826
-3.046875,0.08987105853331259,0.08987399201761614,0.0899582288402926
-3.0078124999999996,0.09713823170967976,0.09714220306994736,0.09723124050856612
-2.96875,0.10498993067897981,0.10499557261436421,0.10508915772534255
-2.9296875,0.11347264615910431,0.11347987131623166,0.11357837045551458
-2.8906249999999996,0.122636478013346,0.1226456704958123,0.12274910685091285
-2.8515625,0.1325354004403615,0.13254724051365283,0.13265508815667465
-2.8125,0.14322754407627605,0.1432415438373807,0.14335504770233243
-2.7734374999999996,0.15477549562831588,0.15479150465500818,0.15491075836802687
-2.734375,0.16724661558960535,0.16726542976243444,0.16738998660952634
-2.6953125,0.18071337449099015,0.18073506717740206,0.1808663121004829
-2.6562499999999996,0.19525370802337239,0.19527889698740852,0.19541612823578774
-2.6171875,0.2109513912078383,0.2109796339383966,0.21112297330338184
-2.578125,0.22789643159478,0.22792807166871842,0.22807652006914966
-2.5390624999999996,0.2461854812303961,0.24622148061726196,0.24637331564956796
-2.5,0.2659222668316062,0.26596195027626535,0.26611695006905756
-2.4609375,0.2872180372496852,0.28726173570271396,0.2874186912490393
-2.4218749999999996,0.3101920268688842,0.3102403277409912,0.31039937051883154
-2.3828125,0.33497193306789447,0.33502488399110536,0.33518704265756644
-2.34375,0.3616944052568684,0.36175117987650063,0.36191612577472326
-2.3046874999999996,0.390505542277283,0.3905667195323209,0.39073481771972246
-2.265625,0.42156139410142734,0.4216258658361655,0.42179784061680076
-2.2265625,0.4550284627766871,0.45509609386024835,0.4552723413811071
-2.1874999999999996,0.49108419641001266,0.49115533651133175,0.49133564780853944
-2.1484375,0.5299174686621329,0.5299911925798456,0.530176455147977
-2.109375,0.5717290347007085,0.5718072118460363,0.5719957687759336
-2.0703124999999996,0.6167319528282317,0.6168146481961867,0.6170059323192283
-2.03125,0.6651519590362253,0.6652408607724244,0.6654333853054484
-1.9921875,0.717227779525716,0.7173237056729884,0.7175172411187656
-1.9531249999999998,0.7732113637613062,0.7733141083702669,0.7735060864311255
-1.9140624999999998,0.8333680178829167,0.8334774348639534,0.8336679872744853
-1.875,0.8979764152817387,0.8980929125485145,0.8982824573242303
-1.8359374999999998,0.9673284578599897,0.967454546033883,0.9676425718461478
-1.7968749999999998,1.0417289579537765,1.041866166859198,1.0420523673268038
-1.7578125,1.1214951071354677,1.121646216201916,1.121830189448662
-1.71875,1.2069556941759787,1.2071196138527438,1.2073026898599073
-1.6796874999999998,1.2984500304114255,1.2986282584295632,1.2988062891201515
-1.640625,1.3963265367245143,1.3965196988520499,1.396689892456821
-1.6015625,1.5009409424557327,1.5011468713573897,1.5013125840873855
-1.5624999999999998,1.6126540429807885,1.6128705317067442,1.6130299190465476
-1.5234375,1.731828959654863,1.7320526821801339,1.7322089996067538
-1.484375,1.8588278436112586,1.8590593062392613,1.8592079700515158
-1.4453124999999998,1.9940079638521966,1.9942456273162161,1.9943871081364335
-1.40625,2.1377171205879315,2.1379612460090622,2.138090770093257
