wavelength_shift_nm,spec_input_norm,spec_kerr_norm,spec_raman_norm
-163.4830986975663,1.285769249909645e-10,1.6793509961927202e-09,1.173676116007573e-09
-160.27754774271204,2.064920851913783e-10,2.7059985352308646e-09,1.9588832866638567e-09
-157.0719967878578,3.316261403661659e-10,4.162436231113823e-09,3.14903718386051e-09
-153.86644583300358,5.325863436777694e-10,6.201922217254312e-09,4.911345696518904e-09
-150.66089487814932,8.553318448113089e-10,9.141683390285564e-09,7.545480849188922e-09
-147.4553439232951,1.3736513240013394e-09,1.3645701598922499e-08,1.1640944387869792e-08
-144.24979296844086,2.2060768397112034e-09,2.096335830178579e-08,1.8284540439946852e-08
-141.04424201358663,3.542932701234936e-09,3.305089877332141e-08,2.920392467005726e-08
-137.83869105873237,5.689927082874822e-09,5.27402064835073e-08,4.692840656800705e-08
-134.63314010387813,9.137959667537109e-09,8.415805245666149e-08,7.507336947370792e-08
-131.4275891490239,1.4675496852783161e-08,1.3352724877636774e-07,1.1900419310555076e-07
-128.22203819416964,2.356869462975735e-08,2.1027298124308882e-07,1.8687740196300445e-07
-125.0164872393154,3.7851139253314647e-08,3.2655587585749767e-07,2.894030335454443e-07
-121.81093628446115,6.078855090606922e-08,4.942053117767377e-07,4.3701503095952443e-07
-118.60538532960693,9.762591361103042e-08,7.229412581026256e-07,6.374299931735708e-07
-115.39983437475269,1.5678626753744905e-07,1.0230419077069151e-06,8.978413171753346e-07
-112.19428341989844,2.5179741127672836e-07,1.4128161448725574e-06,1.2332077106798175e-06
-108.9887324650442,4.043842266766315e-07,1.936942281597769e-06,1.6842496193684583e-06
-105.78318151018995,6.49437507879753e-07,2.6812253911061334e-06,2.3305327040051097e-06
-102.57763055533572,1.042990373743967e-06,3.7432508302263767e-06,3.266518417144565e-06
-99.37207960048147,1.6750329104805908e-06,5.176687868500335e-06,4.5608455637875295e-06
-96.16652864562724,2.6900860264358368e-06,7.017161046575351e-06,6.280325091408082e-06
-92.960977690773,4.32025094662348e-06,9.46768007606517e-06,8.628454357712852e-06
-89.75542673591873,6.938274348739874e-06,1.3125709963731585e-05,1.2099216109404634e-05
-86.54987578106451,1.1142783686729776e-05,1.9091033262434962e-05,1.7558831054979818e-05
-83.34432482621028,1.7895148595674164e-05,2.9061111360189196e-05,2.6391087239516923e-05
-80.13877387135602,2.873929351666007e-05,4.5693570692941124e-05,4.086091103717192e-05
-76.93322291650179,4.6154642399181734e-05,7.3289545754191e-05,6.46544354408043e-05
-73.72767196164754,7.412290698007478e-05,0.00011880896784313675,0.00010362327158103225
-70.52212100679331,0.00011903804341772182,0.00019354846451741104,0.00016728303090579854
-67.31657005193907,0.00019116713728105648,0.00031510131702757973,0.0002710555018285697
-64.11101909708482,0.00030699491017723794,0.0005098541638634619,0.0004390385419587367
-60.905468142230575,0.0004929852134550155,0.0008171457234922483,0.0007078660209084807
-57.69991718737634,0.0007916115353141015,0.0012903417423826148,0.0011274432323149623
-54.4943662325221,0.001271016086158135,0.001995923492756905,0.0017596084620107963
-51.28881527766786,0.0020404542329098886,0.003026481647987943,0.0026908904663321786
-48.08326432281362,0.0032749251143122378,0.004532350722551754,0.0040642578722335475
-44.877713367959366,0.005254280864284527,0.006770676293664559,0.006125965763698557
-41.67216241310514,0.00842489222611891,0.010172366702340131,0.009289050149102064
-38.466611458250895,0.013495755334563387,0.015390916167426395,0.014182932736367171
-35.261060503396656,0.021585405084059393,0.023299349270825907,0.021656602964989672
-32.05550954854241,0.03443912338822729,0.0349519666720103,0.032748731221249494
-28.84995859368817,0.05473128729196443,0.05170818648032452,0.04880926133521854
-25.64440763883393,0.08643823959342711,0.07591264594407181,0.0721587164387984
-22.438856683979683,0.13517452105534258,0.11203212561880467,0.1072143387621388
-19.233305729125448,0.208160234682662,0.1673723450280613,0.16123647860860751
-16.027754774271205,0.3130588461700619,0.25177338036384267,0.24408892372922816
-12.822203819416965,0.45440949531634606,0.3759479133163204,0.366696825885667
-9.616652864562724,0.6266054888778262,0.5457557558803058,0.5355226905439454
-6.411101909708482,0.8053275401953726,0.7470246441465966,0.7375106028631522
-3.205550954854241,0.9459262498371354,0.9258975973816217,0.919914092721329
0.0,1.0,1.0,1.0
3.205550954854241,0.945926249837135,0.9258975973815917,0.9318804146034697
6.411101909708482,0.8053275401953726,0.7470246441465749,0.756549227537082
9.616652864562724,0.626605488877826,0.5457557558802879,0.5560375319571343
12.822203819416965,0.4544094953163459,0.37594791331631205,0.3853091071069572
16.027754774271205,0.31305884617006197,0.25177338036383873,0.2596434369093598
19.233305729125448,0.208160234682662,0.16737234502805626,0.17377473048820571
22.438856683979683,0.13517452105534256,0.11203212561880234,0.11718654854555148
25.64440763883393,0.08643823959342706,0.0759126459440709,0.080040953548429
28.84995859368817,0.05473128729196443,0.051708186480324,0.054975170926805386
32.05550954854241,0.03443912338822729,0.03495196667201042,0.037480272297819923
35.261060503396656,0.0215854050840594,0.023299349270825664,0.025208095726586926
38.466611458250895,0.013495755334563377,0.015390916167426322,0.0168087675491735
41.67216241310514,0.008424892226118913,0.010172366702340245,0.01122041276282882
44.877713367959366,0.00525428086428452,0.006770676293664557,0.007545084522747344
48.08326432281362,0.003274925114312237,0.004532350722551798,0.005101726315762388
51.28881527766786,0.0020404542329098877,0.003026481647987925,0.0034394257118495306
54.4943662325221,0.001271016086158134,0.0019959234927568684,0.0022897130892950983
57.69991718737634,0.000791611535314103,0.0012903417423825955,0.0014947451491938244
60.905468142230575,0.0004929852134550162,0.0008171457234922378,0.000955418308294603
64.11101909708482,0.00030699491017723804,0.0005098541638634445,0.0006001180237889553
67.31657005193907,0.0001911671372810569,0.00031510131702758293,0.0003716377750270532
70.52212100679331,0.00011903804341772114,0.00019354846451740345,0.00022760002931303665
73.72767196164754,7.412290698007464e-05,0.00011880896784313332,0.00013886808341525452
76.93322291650179,4.615464239918171e-05,7.328954575419246e-05,8.506279668161001e-05
80.13877387135602,2.8739293516659905e-05,4.569357069294149e-05,5.2577646138536496e-05
